id;name;postal_code;street_address;neighborhood;city;state
1;mesh;Branch AGP;fresh-thinking Sleek;Customer;South Jamisonburgh;Hollow Argentine Peso
2;orange microchip lavender;Stravenue Principal;web services Dynamic;Philippine Peso payment;North Michelhaven;Belarussian Ruble transform XML
3;Yemeni Rial Maryland;payment;methodologies Advanced;web-enabled Automotive Consultant;O'Keefeberg;withdrawal
4;reintermediate;Branding Trace port;Unbranded Legacy revolutionary;Loop;Westburgh;Borders synergy
5;multi-state online Rest;index bus;Investment Account;infrastructures Communications Cambridgeshire;East Nickton;hub compressing
6;EXE;Persevering cohesive Computers;GB Engineer;Berkshire;Lake Salmaville;turquoise Legacy matrix
7;Gorgeous North Dakota;Generic intuitive maroon;program Rand;Credit Card Account Berkshire;Schulisthaven;hard drive
8;architectures Consultant Refined;capacitor Locks;convergence Steel Sleek;Tennessee back-end Alley;Tiaraton;Response Centers
9;Internal mission-critical systemic;Venezuela;Home Loan Account Puerto Rico;monitor;Fritschfort;Chair Forks
10;groupware Manager Persevering;Producer;Facilitator tan Buckinghamshire;Legacy;Lake Ibrahim;web services EXE
